物品	每份原材料	单位时间产能（份）	每份个数
动力引擎	磁线圈x1，铜块x2	20	1
战场分析基站	钢材x12，电路板x18，微晶元件x6，动力引擎x12	10	1
自演化研究站	矩阵研究站x1，硅基神经元x10，黑雾矩阵x20，量子芯片x4	15	1
重组式制造台	制造台Mk.IIIx1，物质重组器x10，能量碎片x30，量子芯片x4	12	1
负熵熔炉	位面熔炉x1，负熵奇点x10，能量碎片x30，量子芯片x4	10	1
奇异湮灭燃料棒	反物质燃料棒x8，核心素x1，奇异物质x2，框架材料x1	1.875	1
近程电浆塔	钢材x15，超级磁场环x5，电浆激发器x5，处理器x5	7.5	1
干扰胶囊	电磁涡轮x1，电浆激发器x1，氢x3	30	1
压制胶囊	干扰胶囊x2，超级磁场环x1，钛化玻璃x2	7.5	2
集装分拣器	极速分拣器x2，超级磁场环x1，处理器x1	60	1
精炼油	精炼油x2，氢x1，煤矿x1	15	3
塑料	精炼油x2，高能石墨x1	20	1
硫酸	精炼油x6，石矿x8，水x4	10	4
有机晶体	塑料x2，精炼油x1，水x1	10	1
石墨烯	高能石墨x3，硫酸x1	20	2
碳纳米管	石墨烯x3，钛块x1	15	2
碳纳米管	刺笋结晶x6	15	2
爆破单元	燃烧单元x2，塑料x2，硫酸x1	10	2
晶石爆破单元	爆破单元x8，卡西米尔晶体x1，晶格硅x8	2.5	8
重氢	氢x10	24	5
奇异物质	粒子容器x2，铁块x2，重氢x10	7.5	1
电磁矩阵	磁线圈x1，电路板x1	20	1
能量矩阵	高能石墨x2，氢x2	10	1
结构矩阵	金刚石x1，钛晶石x1	7.5	1
信息矩阵	处理器x2，粒子宽带x1	6	1
引力矩阵	引力透镜x1，量子芯片x1	2.5	2
宇宙矩阵	电磁矩阵x1，能量矩阵x1，结构矩阵x1，信息矩阵x1，引力矩阵x1，反物质x1	4	1
氢	临界光子x2	30	2
反物质	临界光子x2	30	2
精炼油	原油x2	15	2
氢	原油x2	15	1
高能石墨	精炼油x1，氢x2	15	1
氢	精炼油x1，氢x2	15	3
石墨烯	可燃冰x2	30	2
氢	可燃冰x2	30	1

